plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-013	E19	BRD-K32821942-001-22-1	1.386315	5.0	DMSO
C-7210-01-CMP-013	E20	BRD-K33882852-003-02-8	2.134465	5.0	DMSO
C-7210-01-CMP-013	E21	BRD-K64890080-001-02-1	2.6082718	5.0	DMSO
C-7210-01-CMP-013	E22	BRD-K91535048-001-01-2	1.9523905	5.0	DMSO
C-7210-01-CMP-013	E23	BRD-K67915505-001-01-2	1.896938	5.0	DMSO
C-7210-01-CMP-013	E24				DMSO
C-7210-01-CMP-013	F01				DMSO
C-7210-01-CMP-013	F02	BRD-K12102668-001-25-5	1.4916985	5.0	DMSO
C-7210-01-CMP-013	F03				DMSO
C-7210-01-CMP-013	F04	BRD-K49223707-001-01-0	0.931456	5.0	DMSO
C-7210-01-CMP-013	F05	BRD-K91822704-003-07-2	1.3183900000000002	5.0	DMSO
C-7210-01-CMP-013	F06				DMSO
C-7210-01-CMP-013	F07	BRD-K68164687-001-01-6	2.538415	5.0	DMSO
C-7210-01-CMP-013	F08	BRD-A00827783-001-24-6	1.271213	5.0	DMSO
C-7210-01-CMP-013	F09				DMSO
C-7210-01-CMP-013	F10	BRD-K59632282-052-03-1	2.60286	5.0	DMSO
C-7210-01-CMP-013	F11	BRD-K50055394-001-03-6	2.08438	5.0	DMSO
C-7210-01-CMP-013	F12	BRD-A36217750-001-16-3	2.02241	5.0	DMSO
C-7210-01-CMP-013	F13	BRD-K93942811-001-01-3	1.9223845	5.0	DMSO
C-7210-01-CMP-013	F14	BRD-A08187463-001-12-9	1.927385	5.0	DMSO
C-7210-01-CMP-013	F15	BRD-K84266862-001-03-2	1.22134	5.0	DMSO
C-7210-01-CMP-013	F16	BRD-K25412176-001-01-9	2.136615	5.0	DMSO
C-7210-01-CMP-013	F17	BRD-K36660044-001-24-2	1.1163415	5.0	DMSO
C-7210-01-CMP-013	F18	BRD-K42352790-001-05-3	1.7376735	5.0	DMSO
C-7210-01-CMP-013	F19	BRD-K49350383-001-13-7	0.83596	5.0	DMSO
C-7210-01-CMP-013	F20	BRD-K53234107-001-01-6	2.36291	5.0	DMSO
C-7210-01-CMP-013	F21	BRD-K29322660-001-01-9	2.740285	5.0	DMSO
C-7210-01-CMP-013	F22	BRD-K41599323-001-02-3	3.19411	5.0	DMSO
C-7210-01-CMP-013	F23	BRD-K44771174-066-01-0	3.123845	5.0	DMSO
C-7210-01-CMP-013	F24	BRD-K14681867-001-01-6	8.189389999999998	5.0	DMSO
C-7210-01-CMP-013	G01	BRD-K01666412-001-02-0	0.5756525	5.0	DMSO
C-7210-01-CMP-013	G02	BRD-K80451230-051-02-6	2.657981	5.0	DMSO
C-7210-01-CMP-013	G03	BRD-K60476892-001-16-1	1.5217124999999996	5.0	DMSO
C-7210-01-CMP-013	G04				DMSO
C-7210-01-CMP-013	G05	BRD-K24283677-001-01-9	1.6068655	5.0	DMSO
C-7210-01-CMP-013	G06	BRD-K03109492-001-02-2	1.608795	5.0	DMSO
C-7210-01-CMP-013	G07	BRD-K80666802-003-01-0	2.12868	5.0	DMSO
C-7210-01-CMP-013	G08	BRD-K70778732-003-27-5	2.041625	5.0	DMSO
C-7210-01-CMP-013	G09				DMSO
C-7210-01-CMP-013	G10				DMSO
C-7210-01-CMP-013	G11	BRD-K10670311-001-17-1	1.991965	5.0	DMSO
C-7210-01-CMP-013	G12	BRD-K29791386-001-01-8	0.6406295	5.0	DMSO
C-7210-01-CMP-013	G13				DMSO
C-7210-01-CMP-013	G14	BRD-K48722258-300-11-0	3.38805	5.0	DMSO
C-7210-01-CMP-013	G15	BRD-A30815329-001-12-1	1.92127	5.0	DMSO
C-7210-01-CMP-013	G16	BRD-A99888680-001-05-3	2.1324195	5.0	DMSO
C-7210-01-CMP-013	G17	BRD-K50836978-001-03-3	1.94447	5.0	DMSO
C-7210-01-CMP-013	G18				DMSO
C-7210-01-CMP-013	G19	BRD-K77220725-003-01-5	1.72933	5.0	DMSO
C-7210-01-CMP-013	G20	BRD-A89164055-001-03-3	1.180996	5.0	DMSO
C-7210-01-CMP-013	G21	BRD-K89517477-001-01-4	2.49159	5.0	DMSO
C-7210-01-CMP-013	G22	BRD-A24122750-001-03-7	1.2485700000000002	5.0	DMSO
C-7210-01-CMP-013	G23	BRD-K70463136-001-01-5	2.6276275	5.0	DMSO
C-7210-01-CMP-013	G24	BRD-K16444452-001-09-1	1.1515275	5.0	DMSO
C-7210-01-CMP-013	H01	BRD-K05531427-001-01-7	2.372095	5.0	DMSO
C-7210-01-CMP-013	H02	BRD-K77087341-001-02-4	1.7826995	5.0	DMSO
C-7210-01-CMP-013	H03	BRD-K61688984-001-02-9	1.812001	5.0	DMSO
C-7210-01-CMP-013	H04				DMSO
C-7210-01-CMP-013	H05	BRD-K03406345-001-21-1	1.2210235	5.0	DMSO
C-7210-01-CMP-013	H06	BRD-K60150510-001-15-6	1.6767915	5.0	DMSO
C-7210-01-CMP-013	H07	BRD-K16803204-001-01-6	2.12752	5.0	DMSO
C-7210-01-CMP-013	H08	BRD-K76037122-001-02-5	0.2953525	5.0	DMSO
C-7210-01-CMP-013	H09	BRD-K23913458-001-20-7	0.7307134999999999	5.0	DMSO
C-7210-01-CMP-013	H10				DMSO
C-7210-01-CMP-013	H11	BRD-K73789395-001-09-9	1.947235	5.0	DMSO
C-7210-01-CMP-013	H12	BRD-K76792669-001-08-1	0.9606175	5.0	DMSO
C-7210-01-CMP-013	H13				DMSO
C-7210-01-CMP-013	H14	BRD-K26970495-001-02-7	2.25256	5.0	DMSO
C-7210-01-CMP-013	H15	BRD-A74391928-051-03-9	2.503245	5.0	DMSO
C-7210-01-CMP-013	H16	BRD-K82818427-001-04-8	2.3882	5.0	DMSO
C-7210-01-CMP-013	H17				DMSO
C-7210-01-CMP-013	H18				DMSO
C-7210-01-CMP-013	H19	BRD-K26989966-001-04-3	2.848701	5.0	DMSO
C-7210-01-CMP-013	H20	BRD-K83896451-001-06-7	0.7307224999999999	5.0	DMSO
C-7210-01-CMP-013	H21	BRD-K62810658-001-11-4	1.3363965	5.0	DMSO
C-7210-01-CMP-013	H22	BRD-K01825690-065-01-9	1.97629	5.0	DMSO
C-7210-01-CMP-013	H23	BRD-K75390981-300-04-9	0.9904700000000001	5.0	DMSO
C-7210-01-CMP-013	H24	BRD-K38272302-001-02-7	1.7220485	5.0	DMSO
C-7210-01-CMP-013	I01	BRD-A84687895-001-03-2	1.9268535	5.0	DMSO
C-7210-01-CMP-013	I02				DMSO
C-7210-01-CMP-013	I03	BRD-K15819326-001-01-6	2.813515	5.0	DMSO
C-7210-01-CMP-013	I04	BRD-A93477898-001-04-2	1.20257	5.0	DMSO
C-7210-01-CMP-013	I05	BRD-K86525559-001-07-8	1.81211	5.0	DMSO
C-7210-01-CMP-013	I06	BRD-K64800655-001-09-0	1.8074085	5.0	DMSO
C-7210-01-CMP-013	I07	BRD-K36016295-001-05-2	2.738325	5.0	DMSO
C-7210-01-CMP-013	I08	BRD-K06674495-334-04-0	2.69791	5.0	DMSO
C-7210-01-CMP-013	I09				DMSO
C-7210-01-CMP-013	I10				DMSO
C-7210-01-CMP-013	I11	BRD-K50498985-001-03-3	2.56251	5.0	DMSO
C-7210-01-CMP-013	I12	BRD-K52960356-001-13-0	1.621975	5.0	DMSO
C-7210-01-CMP-013	I13	BRD-A69651145-003-11-4	2.469685	5.0	DMSO
C-7210-01-CMP-013	I14	BRD-K64890080-001-02-1	2.6082718	5.0	DMSO
C-7210-01-CMP-013	I15	BRD-K84783599-001-01-0	2.1120785	5.0	DMSO
C-7210-01-CMP-013	I16	BRD-K76908866-001-07-6	2.347675	5.0	DMSO
C-7210-01-CMP-013	I17	BRD-K38852836-001-04-9	1.8219889999999999	5.0	DMSO
C-7210-01-CMP-013	I18	BRD-K80935598-001-01-1	2.1475875	5.0	DMSO
C-7210-01-CMP-013	I19	BRD-A18763547-300-06-3	2.700595	5.0	DMSO
C-7210-01-CMP-013	I20	BRD-K32730239-001-01-0	1.306525	5.0	DMSO
C-7210-01-CMP-013	I21				DMSO
C-7210-01-CMP-013	I22				DMSO
C-7210-01-CMP-013	I23	BRD-A64173453-015-03-1	5.396455	5.0	DMSO
C-7210-01-CMP-013	I24	BRD-K09338665-001-08-9	0.6511395	5.0	DMSO
C-7210-01-CMP-013	J01	BRD-K64034691-001-01-9	2.3275325	5.0	DMSO
C-7210-01-CMP-013	J02	BRD-K38512030-001-01-7	3.488843	5.0	DMSO
C-7210-01-CMP-013	J03	BRD-K74514084-003-09-2	2.369895	5.0	DMSO
C-7210-01-CMP-013	J04	BRD-K19333160-001-01-3	1.631865	5.0	DMSO
C-7210-01-CMP-013	J05	BRD-K97091514-001-11-4	2.1535305	5.0	DMSO
C-7210-01-CMP-013	J06	BRD-K41599323-001-02-3	3.19411	5.0	DMSO
C-7210-01-CMP-013	J07	BRD-K47738867-001-01-5	0.580576	5.0	DMSO
C-7210-01-CMP-013	J08	BRD-A91822151-001-05-0	1.551496	5.0	DMSO
C-7210-01-CMP-013	J09	BRD-K19477839-001-07-6	1.79704	5.0	DMSO
C-7210-01-CMP-013	J10	BRD-K95785537-001-22-3	1.50887	5.0	DMSO
C-7210-01-CMP-013	J11	BRD-A63444178-001-01-5	1.6068655	5.0	DMSO
